"Testbed","Hazard","Model_Type","Model_Name","(Intercept)","IAGMIN","IUTIL","ICONS","IMANU","IWHOLE","IRETAIL","ITRANS","IPROFSER","IREALE","IEDU","IHEALTH","IART","IACCO","HS1I","HS2I","HS3I"
"Galveston","hurricane","sector_model","DFFD _ IMANU_L4HI","-0.122569494354387","0","-0.000372743960708333","-0.00585487479964861","0.0570174320746465","-0.00222572345092772","-0.000184480039579662","-0.000208686229892255","-0.000979107905188506","0","-0.000186480443154196","0.000236214473605077","0","-0.000373416882480662","-0.000198490604297572","-0.000141424307356013","-0.000192783516583911"
"Galveston","hurricane","sector_model","DFFD _ IWHOLE_L1WI","-0.0902289988550416","0","0","-0.00409945008805195","-0.00453724226709351","0.0920183499301083","-0.00151964422886618","-0.0018845155153432","-0.000753609797526778","-0.000398849777463282","0.000151251782918698","-0.000686315889381558","0","0.00179394320888908","-0.00124603579910594","-0.000405439309903468","-0.000618721079610827"
"Galveston","hurricane","sector_model","DFFD _ IWHOLE_L2WI","-0.0817009091442813","0","-0.000598196136891019","-0.00945448048368525","-0.0105325610798012","0.19510116084719","-0.00299055830260818","-0.0042396642931451","-0.00186404073358472","-0.000733922734731836","0.00197159379755335","-0.00180070857852013","0","-0.000748847916567238","-0.00286196246432951","-0.000860031987825495","-0.00130576862316954"
"Galveston","hurricane","sector_model","DFFD _ IWHOLE_L3WI","-0.0854414473674339","0","-0.00101578956897521","-0.00727162913452924","-0.00871540625143702","0.153540172461511","-0.00207856171103914","-0.00343594617463926","-0.0015298017296649","-0.000867487649993686","0.00219677645510914","-0.00126698370184949","0","-0.00112746980958412","-0.00236251499968224","-0.000716111086569312","-0.0010926691059831"
"Galveston","hurricane","sector_model","DFFD _ IWHOLE_L4WI","-0.0652496226539883","0","-0.00231769006198447","-0.00976266825488358","-0.0153859499734385","0.196430090101607","-0.0022861203314934","-0.00394664779729355","-0.00228958189254131","0","0.00291626834641388","-0.00111094475050356","-9.28636336113107e-05","-0.00174671352220021","-0.00282153201048195","-0.000871622820127232","-0.00130405853416989"
"Galveston","hurricane","sector_model","DFFD _ IWHOLE_L3BI","-0.158634448341085","0","-0.000811563856043309","-0.00370188834726513","-0.00518640391701436","0.0872333606904935","-0.0012196242940106","-0.001652784600657","-0.00080602291440752","-0.000547658387558665","0.000746285610418902","-0.000324203452078454","0","-0.000802777987525703","-0.00139050671237559","-0.000445128966452131","-0.000679631639808054"
"Galveston","hurricane","sector_model","DFFD _ IWHOLE_L3HI","-0.0880889657095996","0","-0.000629748320385983","-0.00395029696338901","-0.00353230449947249","0.0691406054439667","-0.000718578243933664","-0.0012761127352375","-0.000498084856435362","0.000361984222459549","0.000895020179061791","-0.00037621041830799","0","-0.000525661412398564","-0.000883069287225738","-0.000308730531782022","-0.000469583877458122"
"Galveston","hurricane","sector_model","DFFD _ IRETAIL_L1WI","1.40184730706294","0","-0.00848752035770037","-0.0576429050728402","-0.00540038449667775","-0.019500821750031","0.0813282506889468","-0.00893692552953734","-0.00751548944183492","-0.00578805541826615","0.00810561778203044","0.00137837752879741","0.0113692304649157","0.0438379051409135","-0.0314992718528291","-0.00984825661319813","-0.0141272902570019"
"Galveston","hurricane","sector_model","DFFD _ IRETAIL_L2WI","1.11098891064612","-0.000324595637717806","-0.0078048723889429","-0.0410109547181722","-0.00698237628968163","-0.0196844945523911","0.0576986487818947","-0.00499609554792424","-0.00589836015302147","-0.00220346123601931","0.0135005112459634","0.0015215019353948","0.00278818165990007","0.00371993846072603","-0.0213920231186113","-0.00671856293660376","-0.00968098884513803"
"Galveston","hurricane","sector_model","DFFD _ IRETAIL_L3WI","0.374814282949609","0","-0.0038927308573313","-0.0135461031865276","-0.00350165587085923","-0.00466031226402487","0.0204637233926006","-0.00129888529218237","-0.00218844494900734","-0.00152242391636678","0.00606097113726129","0.00052165109529222","0","0","-0.00761936096325757","-0.00241735831584471","-0.00349356990391112"
